context|original_question|generated_question|original answer|generated_answer
Paul Revere was descended from Huguenot refugees, as was Henry Laurens, who signed the Articles of Confederation for South Carolina; Jack Jouett, who made the ride from Cuckoo Tavern to warn Thomas Jefferson and others that Tarleton and his men were on their way to arrest him for crimes against the king; Francis Marion, and a number of other leaders of the American Revolution and later statesmen. The last active Huguenot congregation in North America worships in Charleston, South Carolina, at a church that dates to 1844. The Huguenot Society of America maintains Manakin Episcopal Church in Virginia as an historic shrine with occasional services. The Society has chapters in numerous states, with the one in Texas being the largest.|What signer of the Articles of Confederation was descended from Huguenots?|Which signer of the Articles of Confederation was also descended from Huguenot refugees?|Henry Laurens|Henry Laurens, who signed the Articles of Confederation for South Carolina, was also descended from Huguenot refugees.
"Database storage is the container of the physical materialization of a database. It comprises the internal (physical) level in the database architecture. It also contains all the information needed (e.g., metadata, ""data about the data"", and internal data structures) to reconstruct the conceptual level and external level from the internal level when needed. Putting data into permanent storage is generally the responsibility of the database engine a.k.a. ""storage engine"". Though typically accessed by a DBMS through the underlying operating system (and often utilizing the operating systems' file systems as intermediates for storage layout), storage properties and configuration setting are extremely important for the efficient operation of the DBMS, and thus are closely maintained by database administrators. A DBMS, while in operation, always has its database residing in several types of storage (e.g., memory and external storage). The database data and the additional needed information, possibly in very large amounts, are coded into bits. Data typically reside in the storage in structures that look completely different from the way the data look in the conceptual and external levels, but in ways that attempt to optimize (the best possible) these levels' reconstruction when needed by users and programs, as well as for computing additional types of needed information from the data (e.g., when querying the database)."|What do database administrators closely monitor?|What are extremely important for the efficient operation of a DBMS and are closely maintained by database administrators?|storage properties and configuration setting|Storage properties and configuration settings are extremely important for the efficient operation of a DBMS, and thus are closely maintained by database administrators.
The unusually high concentration of oxygen gas on Earth is the result of the oxygen cycle. This biogeochemical cycle describes the movement of oxygen within and between its three main reservoirs on Earth: the atmosphere, the biosphere, and the lithosphere. The main driving factor of the oxygen cycle is photosynthesis, which is responsible for modern Earth's atmosphere. Photosynthesis releases oxygen into the atmosphere, while respiration and decay remove it from the atmosphere. In the present equilibrium, production and consumption occur at the same rate of roughly 1/2000th of the entire atmospheric oxygen per year.|What type of process is the oxygen cycle?|What term describes the cycle that describes the movement of oxygen within and between its three main reservoirs on Earth?|biogeochemical|"The term that describes the cycle that describes the movement of oxygen within and between its three main reservoirs on Earth is the ""oxygen cycle."""
"The Apollo program, also known as Project Apollo, was the third United States human spaceflight program carried out by the National Aeronautics and Space Administration (NASA), which accomplished landing the first humans on the Moon from 1969 to 1972. First conceived during Dwight D. Eisenhower's administration as a three-man spacecraft to follow the one-man Project Mercury which put the first Americans in space, Apollo was later dedicated to President John F. Kennedy's national goal of ""landing a man on the Moon and returning him safely to the Earth"" by the end of the 1960s, which he proposed in a May 25, 1961, address to Congress. Project Mercury was followed by the two-man Project Gemini (1962–66). The first manned flight of Apollo was in 1968."|What project put the first Americans into space?|What was the name of the third United States human spaceflight program carried out by NASA?|Project Apollo|The name of the third United States human spaceflight program carried out by NASA was the Apollo program or Project Apollo.
"Gamal Abdel Nasser was born on 15 January 1918 in Bakos, Alexandria, the first son of Fahima and Abdel Nasser Hussein. Nasser's father was a postal worker born in Beni Mur in Upper Egypt and raised in Alexandria, and his mother's family came from Mallawi, el-Minya. His parents married in 1917, and later had two more boys, Izz al-Arab and al-Leithi. Nasser's biographers Robert Stephens and Said Aburish wrote that Nasser's family believed strongly in the ""Arab notion of glory"", since the name of Nasser's brother, Izz al-Arab, translates to ""Glory of the Arabs""—a rare name in Egypt."|What does Nasser's brother's name translate to?|What is the translation of the name Izz al-Arab and what is its significance to Nasser's family?|Glory of the Arabs|"The translation of the name Izz al-Arab is ""Glory of the Arabs"". It is significant to Nasser's family because they believed strongly in the ""Arab notion of glory""."
"Europe's expansion into territorial imperialism was largely focused on economic growth by collecting resources from colonies, in combination with assuming political control by military and political means. The colonization of India in the mid-18th century offers an example of this focus: there, the ""British exploited the political weakness of the Mughal state, and, while military activity was important at various times, the economic and administrative incorporation of local elites was also of crucial significance"" for the establishment of control over the subcontinent's resources, markets, and manpower. Although a substantial number of colonies had been designed to provide economic profit and to ship resources to home ports in the seventeenth and eighteenth centuries, Fieldhouse suggests that in the nineteenth and twentieth centuries in places such as Africa and Asia, this idea is not necessarily valid:"|What did European empires rely on to supply them with resources?|What was the focus of Europe's expansion into territorial imperialism and what is an example of this focus?|colonies|The focus of Europe's expansion into territorial imperialism was largely on economic growth by collecting resources from colonies, in combination with assuming political control by military and political means. An example of this focus is the colonization of India in the mid-18th century,
By 1989 Germany was nearing reunification and the Cold War was coming to a close. Army leadership reacted by starting to plan for a reduction in strength. By November 1989 Pentagon briefers were laying out plans to reduce army end strength by 23%, from 750,000 to 580,000. A number of incentives such as early retirement were used. In 1990 Iraq invaded its smaller neighbor, Kuwait, and U.S. land forces, quickly deployed to assure the protection of Saudi Arabia. In January 1991 Operation Desert Storm commenced, a U.S.-led coalition which deployed over 500,000 troops, the bulk of them from U.S. Army formations, to drive out Iraqi forces. The campaign ended in total victory, as Western coalition forces routed the Iraqi Army, organized along Soviet lines, in just one hundred hours.|Which country did Iraq invade in 1990?|What country did Iraq invade in 1990, leading to the deployment of US land forces and the start of Operation Desert Storm?|Kuwait|Iraq invaded Kuwait in 1990, leading to the deployment of US land forces and the start of Operation Desert Storm.
KU Endowment was established in 1891 as America’s first foundation for a public university. Its mission is to partner with donors in providing philanthropic support to build a greater University of Kansas.|When was the KU Endowment founded?|In what year was KU Endowment established as America's first foundation for a public university?|1891|KU Endowment was established in 1891 as America's first foundation for a public university.
The specific devolved matters are all subjects which are not explicitly stated in Schedule 5 to the Scotland Act as reserved matters. All matters that are not specifically reserved are automatically devolved to the Scottish Parliament. Most importantly, this includes agriculture, fisheries and forestry, economic development, education, environment, food standards, health, home affairs, Scots law – courts, police and fire services, local government, sport and the arts, transport, training, tourism, research and statistics and social work. The Scottish Parliament has the ability to alter income tax in Scotland by up to 3 pence in the pound. The 2012 Act conferred further fiscal devolution including borrowing powers and some other unconnected matters such as setting speed limits and control of air guns.|Setting speed limits was one of the further devolutions which was conferred by what act?|What conferred further fiscal devolution including borrowing powers and some other unconnected matters such as setting speed limits and control of air guns?|2012 Act|The 2012 Act conferred further fiscal devolution including borrowing powers and some other unconnected matters such as setting speed limits and control of air guns.
Parliament typically sits Tuesdays, Wednesdays and Thursdays from early January to late June and from early September to mid December, with two-week recesses in April and October. Plenary meetings in the debating chamber usually take place on Wednesday afternoons from 2 pm to 6 pm and on Thursdays from 9:15 am to 6 pm. Chamber debates and committee meetings are open to the public. Entry is free, but booking in advance is recommended due to limited space. Meetings are broadcast on the Parliament's own channel Holyrood.tv and on the BBC's parliamentary channel BBC Parliament. Proceedings are also recorded in text form, in print and online, in the Official Report, which is the substantially verbatim transcript of parliamentary debates.|What contains a nearly verbatim of parliamentary debates?|What is the name of the substantially verbatim transcript of parliamentary debates in the Scottish Parliament?|the Official Report|The name of the substantially verbatim transcript of parliamentary debates in the Scottish Parliament is the Official Report.
The freedom to form, declare membership in, or campaign for candidates from a political party is considered a measurement of a state's adherence to liberal democracy as a political value. Regulation of parties may run from a crackdown on or repression of all opposition parties, a norm for authoritarian governments, to the repression of certain parties which hold or promote ideals which run counter to the general ideology of the state's incumbents (or possess membership by-laws which are legally unenforceable).|What is considered a measurement of a state's support to liberal democracy?|candidates from a political party is considered a measurement of what political value?|The freedom to form, declare membership in, or campaign for|Candidates from a political party is considered a measurement of liberal democracy as a political value.
"Imperial submitted a total of 1,257 staff across 14 units of assessment to the 2014 Research Excellence Framework (REF) assessment. In the REF results 46% of Imperial's submitted research was classified as 4*, 44% as 3*, 9% as 2* and 1% as 1*, giving an overall GPA of 3.36. In rankings produced by Times Higher Education based upon the REF results Imperial was ranked 2nd overall for GPA and 8th for ""research power"" (compared to 6th and 7th respectively in the equivalent rankings for the RAE 2008)."|How many units of assessment did Imperial submit?|What is the total number of units of assessment that Imperial submitted to the 2014 Research Excellence Framework assessment?|14|Imperial submitted a total of 14 units of assessment to the 2014 Research Excellence Framework assessment.
context|original_question|generated_question|original answer|generated_answer
The Far Eastern collections include more than 70,000 works of art from the countries of East Asia: China, Japan and Korea. The T. T. Tsui Gallery of Chinese art opened in 1991, displaying a representative collection of the V&As approximately 16,000 objects from China, dating from the 4th millennium BC to the present day. Though the majority of art works on display date from the Ming and Qing dynasties, there are exquisite examples of objects dating from the Tang dynasty and earlier periods. Notably, a metre-high bronze head of the Buddha dated to c.750 AD and one of the oldest items a 2,000-year-old jade horse head from a burial, other sculptures include life-size tomb guardians. Classic examples of Chinese manufacturing are displayed that include lacquer, silk, porcelain, jade and cloisonné enamel. Two large ancestor portraits of a husband and wife painted in watercolour on silk date from the 18th century. There is a unique Chinese lacquerware table, made in the imperial workshops during the reign of the Xuande Emperor in the Ming dynasty. Examples of clothing are also displayed. One of the largest objects is a bed from the mid-17th century. The work of contemporary Chinese designers is also displayed.|In which year did the gallery devoted to Chinese art open?|What year did the T. T. Tsui Gallery of Chinese art open?|1991|The T. T. Tsui Gallery of Chinese art opened in 1991.
The security of Paris is mainly the responsibility of the Prefecture of Police of Paris, a subdivision of the Ministry of the Interior of France. It supervises the units of the National Police who patrol the city and the three neighbouring departments. It is also responsible for providing emergency services, including the Paris Fire Brigade. Its headquarters is on Place Louis Lépine on the Île de la Cité. There are 30,200 officers under the prefecture, and a fleet of more than 6,000 vehicles, including police cars, motorcycles, fire trucks, boats and helicopters. In addition to traditional police duties, the local police monitors the number of discount sales held by large stores (no more than two a year are allowed) and verify that, during summer holidays, at least one bakery is open in every neighbourhood. The national police has its own special unit for riot control and crowd control and security of public buildings, called the Compagnies Républicaines de Sécurité (CRS), a unit formed in 1944 right after the liberation of France. Vans of CRS agents are frequently seen in the centre of the city when there are demonstrations and public events.|How many vehicles are in the fleet?|What is the size of the fleet of vehicles under the Prefecture of Police of Paris?|6,000|The size of the fleet of vehicles under the Prefecture of Police of Paris is more than 6,000, which includes police cars, motorcycles, fire trucks, boats, and helicopters.
"According to Milton Friedman, before the Industrial Revolution virtually all children worked in agriculture. During the Industrial Revolution many of these children moved from farm work to factory work. Over time, as real wages rose, parents became able to afford to send their children to school instead of work and as a result child labour declined, both before and after legislation. Austrian School economist Murray Rothbard said that British and American children of the pre- and post-Industrial Revolution lived and suffered in infinitely worse conditions where jobs were not available for them and went ""voluntarily and gladly"" to work in factories."|Where did children go to work after doing farm work for so long?|What kind of work did many children move to during the Industrial Revolution?|factory work|Many children moved from farm work to factory work during the Industrial Revolution.
The British—by inclination as well as for practical reasons—had tended to avoid large-scale commitments of troops on the Continent. They sought to offset the disadvantage of this in Europe by allying themselves with one or more Continental powers whose interests were antithetical to those of their enemies, particularly France.:15–16 By subsidising the armies of continental allies, Britain could turn London's enormous financial power to military advantage. In the Seven Years' War, the British chose as their principal partner the greatest general of the day, Frederick the Great of Prussia, then the rising power in central Europe, and paid Frederick substantial subsidies for his campaigns.:106 This was accomplished in the Diplomatic Revolution of 1756, in which Britain ended its long-standing alliance with Austria in favor of Prussia, leaving Austria to side with France. In marked contrast to France, Britain strove to prosecute the war actively in the colonies, taking full advantage of its naval power. :64–66 The British pursued a dual strategy – naval blockade and bombardment of enemy ports, and rapid movement of troops by sea. They harassed enemy shipping and attacked enemy colonies, frequently using colonists from nearby British colonies in the effort.|What country was driven into an alliance with France by the British pairing with Prussia?|What was the result of the Diplomatic Revolution of 1756 in terms of Britain's long-standing alliance with Austria?|leaving Austria to side with France|The result of the Diplomatic Revolution of 1756 was that Britain ended its long-standing alliance with Austria in favor of Prussia, leaving Austria to side with France.
The country bounced between socialism and adherence to the neoliberal model. Land reform and nationalizations were enforced; the Portuguese Constitution (approved in 1976) was rewritten in order to accommodate socialist and communist principles. Until the constitutional revisions of 1982 and 1989, the constitution was a highly charged ideological document with numerous references to socialism, the rights of workers, and the desirability of a socialist economy. Portugal's economic situation after its transition to democracy, obliged the government to pursue International Monetary Fund (IMF)-monitored stabilization programs in 1977–78 and 1983–85.|For what reasons were the Portuguese Constitution rewritten?|What changes were made to the Portuguese Constitution in 1976?|to accommodate socialist and communist principles|The Portuguese Constitution was rewritten in 1976 in order to accommodate socialist and communist principles.
